date,value
2023-08-04,98.39
2023-08-07,98.69
2023-08-08,98.23
2023-08-09,96.36
2023-08-10,96.32
2023-08-11,95.71
2023-08-14,97.24
2023-08-15,95.77
2023-08-16,94.95
2023-08-17,94.09
2023-08-18,93.66
2023-08-21,95.26
2023-08-22,95.37
2023-08-23,96.65
2023-08-24,95.0
2023-08-25,95.82
2023-08-28,96.35
2023-08-29,98.48
2023-08-30,98.28
2023-08-31,98.91
2023-09-01,98.88
2023-09-04,99.12
2023-09-05,100.03
2023-09-06,98.84
2023-09-07,98.12
2023-09-08,98.01
2023-09-11,99.08
2023-09-12,98.56
2023-09-13,98.57
2023-09-14,99.92
2023-09-15,98.72
2023-09-18,98.33
2023-09-19,97.94
2023-09-20,96.66
2023-09-21,95.07
2023-09-22,94.86
2023-09-25,95.64
2023-09-26,94.34
2023-09-27,94.89
2023-09-28,95.42
2023-09-29,95.57
2023-10-02,96.62
2023-10-04,95.92
2023-10-05,95.59
2023-10-06,96.9
2023-10-09,97.13
2023-10-10,97.82
2023-10-11,98.27
2023-10-12,98.66
2023-10-13,97.59
2023-10-16,98.01
2023-10-17,97.67
2023-10-18,96.33
2023-10-19,95.11
2023-10-20,93.46
2023-10-23,93.55
2023-10-24,94.75
2023-10-25,92.98
2023-10-26,91.69
2023-10-27,91.56
2023-10-30,92.09
2023-10-31,92.66
2023-11-01,94.5
2023-11-02,95.91
2023-11-03,96.1
2023-11-06,96.31
2023-11-07,97.18
2023-11-08,97.25
2023-11-09,96.82
2023-11-10,98.37
2023-11-13,98.52
2023-11-14,99.39
2023-11-15,99.45
2023-11-16,99.35
2023-11-17,99.57
2023-11-20,100.14
2023-11-21,99.83
2023-11-22,100.51
2023-11-23,100.2
2023-11-24,99.71
2023-11-27,99.62
2023-11-28,99.65
2023-11-29,99.62
2023-11-30,99.7
2023-12-01,100.53
2023-12-04,99.69
2023-12-05,100.34
2023-12-06,100.01
2023-12-07,101.19
2023-12-08,102.02
2023-12-11,101.91
2023-12-12,102.17
2023-12-13,102.79
2023-12-14,101.66
2023-12-15,102.61
2023-12-18,103.17
2023-12-19,103.23
2023-12-20,102.06
2023-12-21,102.94
2023-12-22,102.57
2023-12-27,102.86
2023-12-28,102.74
2023-12-29,102.68
2024-01-02,101.99
2024-01-03,100.98
2024-01-04,100.51
2024-01-05,100.67
2024-01-08,102.75
2024-01-09,103.28
2024-01-10,103.41
2024-01-11,103.34
2024-01-12,103.23
2024-01-15,103.16
2024-01-16,103.75
2024-01-17,103.22
2024-01-18,104.34
2024-01-19,105.65
2024-01-22,105.69
2024-01-23,106.34
2024-01-24,107.05
2024-01-25,107.55
2024-01-26,107.04
2024-01-29,108.78
2024-01-30,107.93
2024-01-31,105.9
2024-02-01,107.2
2024-02-02,109.68
2024-02-05,110.1
2024-02-06,110.19
2024-02-07,111.14
2024-02-08,111.11
2024-02-09,112.21
2024-02-12,112.37
2024-02-13,111.45
2024-02-14,113.05
2024-02-15,113.19
2024-02-16,112.59
2024-02-19,112.74
2024-02-20,110.83
2024-02-21,110.62
2024-02-22,114.47
2024-02-23,114.06
2024-02-26,114.04
2024-02-27,114.33
2024-02-28,114.17
2024-02-29,115.54
2024-03-01,116.88
2024-03-04,116.57
2024-03-05,115.15
2024-03-06,115.72
2024-03-07,117.27
2024-03-08,115.83
2024-03-11,115.33
2024-03-12,117.55
2024-03-13,116.64
2024-03-14,116.82
2024-03-15,116.02
2024-03-18,117.39
2024-03-19,117.74
2024-03-20,118.74
2024-03-21,119.04
2024-03-22,119.8
2024-03-25,119.84
2024-03-26,119.76
2024-03-27,119.74
2024-03-28,119.93
2024-04-02,119.53
2024-04-03,119.65
2024-04-04,117.93
2024-04-05,119.19
2024-04-08,119.59
2024-04-09,118.57
2024-04-10,119.1
2024-04-11,120.96
2024-04-12,120.07
2024-04-15,118.46
2024-04-16,117.88
2024-04-17,116.56
2024-04-18,115.95
2024-04-19,113.06
