date,value
2017-11-13,31.13
2017-11-14,30.85
2017-11-15,30.73
2017-11-16,30.98
2017-11-17,30.85
2017-11-20,31.06
2017-11-21,31.31
2017-11-22,31.13
2017-11-23,31.05
2017-11-24,30.9
2017-11-27,30.87
2017-11-28,31.08
2017-11-29,31.11
2017-11-30,31.1
2017-12-01,30.68
2017-12-04,31.005
2017-12-05,31.07
2017-12-06,30.99
2017-12-07,31.16
2017-12-08,31.38
2017-12-11,31.31
2017-12-12,31.62
2017-12-13,31.57
2017-12-14,31.43
2017-12-15,31.55
2017-12-18,31.79
2017-12-19,31.66
2017-12-20,31.47
2017-12-21,31.53
2017-12-22,31.46
2017-12-27,31.43
2017-12-28,31.29
2017-12-29,31.28
2018-01-02,31.035
2018-01-03,31.365
2018-01-04,31.62
2018-01-05,31.87
2018-01-08,32.235
2018-01-09,32.48
2018-01-10,32.255
2018-01-11,32.18
2018-01-12,32.255
2018-01-15,32.085
2018-01-16,32.29
2018-01-17,32.28
2018-01-18,32.415
2018-01-19,32.585
2018-01-22,32.6
2018-01-23,32.84
2018-01-24,32.47
2018-02-22,31.995
2018-02-23,32.125
2018-02-26,32.51
2018-02-27,32.83
2018-02-28,32.655
2018-03-01,32.235
2018-03-02,31.205
2018-03-05,31.69
2018-03-06,31.76
2018-03-07,31.825
2018-03-08,32.21
2018-03-09,32.7
2018-03-12,32.89
2018-03-13,32.59
2018-03-14,32.395
2018-03-15,32.61
2018-03-16,32.67
2018-03-19,32.05
2018-03-20,32.475
2018-03-21,32.575
2018-03-22,31.785
2018-03-23,31.0
2018-03-26,30.65
2018-03-27,31.385
2018-03-28,30.55
2018-03-29,31.005
2018-04-03,30.595
2018-04-04,30.525
2018-04-05,31.55
2018-04-06,30.925
2018-04-09,30.995
2018-04-10,31.16
2018-04-11,30.94
2018-04-12,31.385
2018-04-13,31.23
2018-04-16,31.195
2018-04-17,31.72
2018-04-18,31.865
2018-04-19,31.775
2018-04-20,31.795
2018-04-23,32.01
2018-04-24,31.825
2018-04-25,31.37
2018-04-26,31.95
2018-04-27,32.145
2018-04-30,32.31
2018-05-02,32.3
2018-05-03,31.83
2018-05-04,32.5
2018-05-07,32.85
2018-05-08,33.1
2018-05-09,33.17
2018-05-10,33.53
2018-05-11,33.545
2018-05-14,33.575
2018-05-15,33.5
2018-05-16,33.825
2018-05-17,33.95
2018-05-18,33.94
2018-05-22,34.18
2018-05-23,34.06
2018-05-24,34.055
2018-05-25,34.38
2018-05-28,34.495
2018-05-29,34.345
2018-05-30,34.33
2018-05-31,34.22
2018-06-01,34.395
2018-06-04,34.535
2018-06-05,34.66
2018-06-06,34.725
2018-06-07,34.54
2018-06-08,34.645
2018-06-11,34.675
2018-06-12,34.72
2018-06-13,34.92
2018-06-14,35.245
2018-06-15,35.01
2018-06-18,35.1075
2018-06-19,34.8775
2018-06-20,35.1175
2018-06-21,34.8875
2018-06-22,34.72
2018-06-25,33.6925
2018-06-26,33.905
2018-06-27,34.24
2018-06-28,33.9575
2018-06-29,34.13
2018-07-02,33.8275
2018-07-03,33.98
2018-07-04,33.85
2018-07-05,33.755
2018-07-06,33.9075
2018-07-09,34.235
2018-07-10,34.525
2018-07-11,34.3325
2018-07-12,34.685
2018-07-13,34.9675
2018-07-16,34.805
2018-07-17,34.875
2018-07-18,35.25
2018-07-19,35.185
2018-07-20,35.0
2018-07-23,34.93
2018-07-24,35.115
2018-07-25,35.22
2018-07-26,35.53
2018-07-27,35.33
2018-07-30,34.59
2018-07-31,34.6
2018-08-01,34.7
2018-08-02,34.82
2018-08-03,35.01
2018-08-06,35.235
2018-08-07,35.44
2018-08-08,35.455
2018-08-09,35.67
2018-08-10,35.885
2018-08-13,35.81
2018-08-14,35.985
2018-08-15,35.62
2018-08-16,35.76
2018-08-17,35.57
2018-08-20,35.72
2018-08-21,35.685
2018-08-22,35.57
2018-08-23,35.585
2018-08-24,35.865
2018-08-27,35.995
2018-08-28,35.88
2018-08-29,36.245
2018-08-30,36.295
2018-08-31,36.345
2018-09-03,36.455
2018-09-04,36.495
2018-09-05,35.79
2018-09-06,35.74
2018-09-07,35.995
2018-09-10,35.855
2018-09-11,35.955
2018-09-12,35.985
2018-09-13,36.05
2018-09-14,36.265
2018-09-17,35.97
2018-09-18,36.22
2018-09-19,36.18
2018-09-20,36.14
2018-09-21,36.245
2018-09-24,36.065
2018-09-25,36.24
2018-09-26,36.425
2018-09-27,36.63
2018-09-28,36.83
2018-10-01,37.14
2018-10-02,37.03
2018-10-04,36.63
2018-10-05,36.32
2018-10-08,35.94
2018-10-09,36.09
2018-10-10,34.97
2018-10-11,33.935
2018-10-12,34.285
2018-10-15,34.195
2018-10-16,34.595
2018-10-17,34.815
2018-10-18,34.45
2018-10-19,34.445
2018-10-22,34.285
2018-10-23,33.4
