date,value
2013-05-08,2.632
2013-05-09,2.642
2013-05-10,2.664
2013-05-13,2.6616
2013-05-14,2.678
2013-05-15,2.7092
2013-05-16,2.7052
2013-05-17,2.7172
2013-05-20,2.728
2013-05-21,2.722
2013-05-22,2.7408
2013-05-23,2.668
2013-05-24,2.652
2013-05-27,2.6608
2013-05-28,2.6972
2013-05-29,2.6388
2013-05-30,2.6428
2013-05-31,2.6396
2013-06-03,2.584
2013-06-04,2.6092
2013-06-05,2.5612
2013-06-06,2.5304
2013-06-07,2.5672
2013-06-10,2.5672
2013-06-11,2.542
2013-06-12,2.518
2013-06-13,2.512
2013-06-14,2.524
2013-06-17,2.5484
2013-06-18,2.546
2013-06-19,2.5432
2013-06-20,2.4824
2013-06-21,2.4684
2013-06-24,2.434
2013-06-25,2.4748
2013-06-26,2.5104
2013-06-27,2.5396
2013-06-28,2.5428
2013-07-01,2.5572
2013-07-02,2.5572
2013-07-03,2.5392
2013-07-04,2.5876
2013-07-05,2.576
2013-07-08,2.6016
2013-07-09,2.6376
2013-07-10,2.6312
2013-07-11,2.632
2013-07-12,2.6348
2013-07-15,2.6504
2013-07-16,2.6288
2013-07-17,2.642
2013-07-18,2.662
2013-07-19,2.648
2013-07-22,2.6508
2013-07-23,2.646
2013-07-24,2.644
2013-07-25,2.6276
2013-07-26,2.6132
2013-07-29,2.614
2013-07-30,2.6172
2013-07-31,2.6152
2013-08-01,2.6484
2013-08-02,2.6464
2013-08-05,2.6512
2013-08-06,2.6304
2013-08-07,2.6136
2013-08-08,2.612
2013-08-09,2.6244
2013-08-12,2.6352
2013-08-13,2.6484
2013-08-14,2.6524
2013-08-15,2.6192
2013-08-16,2.6104
2013-08-19,2.5952
2013-08-20,2.5736
2013-08-21,2.5616
2013-08-22,2.5772
2013-08-23,2.584
2013-08-26,2.5984
2013-08-27,2.5524
2013-08-28,2.554
2013-08-29,2.5836
2013-08-30,2.5652
2013-09-02,2.6016
2013-09-03,2.6008
2013-09-04,2.6076
2013-09-05,2.6356
2013-09-06,2.6372
2013-09-09,2.6348
2013-09-10,2.6652
2013-09-11,2.662
2013-09-12,2.6612
2013-09-13,2.6676
2013-09-16,2.6824
2013-09-17,2.6744
2013-09-18,2.6792
2013-09-19,2.6912
2013-09-20,2.682
2013-09-23,2.6644
2013-09-24,2.6708
2013-09-25,2.6592
2013-09-26,2.6676
2013-09-27,2.6488
2013-09-30,2.6332
2013-10-01,2.6504
2013-10-02,2.632
2013-10-03,2.616
2013-10-04,2.626
2013-10-07,2.6264
2013-10-08,2.6008
2013-10-09,2.5956
2013-10-10,2.6448
2013-10-11,2.6584
2013-10-14,2.6564
2013-10-15,2.6892
2013-10-16,2.7032
